algorithm,n,waste
best fit,10,1.13021
best fit,100,4.93017
best fit,1000,24.1481
best fit,10000,93.5517
best fit,100000,334.828
best fit decreasing,10,0.935714
best fit decreasing,100,4.70652
best fit decreasing,1000,5.58743
best fit decreasing,10000,23.8544
best fit decreasing,100000,88.1316
